Provider,total_claims,unique_patients,unique_physicians,inpatient_claims,outpatient_claims,avg_claim_amount,total_claim_amount,max_claim_amount,avg_deductible,avg_hospital_stay,max_hospital_stay,avg_claim_duration,unique_diagnosis_1,unique_diagnosis_2,unique_diagnosis_3,avg_patient_age,deceased_patient_rate,chronic_alzheimer,chronic_heartfailure,chronic_kidney,chronic_cancer,chronic_diabetes,claims_per_patient,claims_per_physician,inpatient_ratio,diagnosis_diversity,PotentialFraud,FraudProbability,RiskCategory,PredictedFraud
PRV51001,25,24,14,5,20,4185.6,104640,42000,213.6,1.0,14.0,1.44,23,15,10,77.88,0.0,1.4,1.24,1.32,1.8,1.16,1.0416666666666667,1.7857142857142858,0.2,0.92,0,0.0142,Low,0
PRV51003,132,117,44,62,70,4588.409090909091,605670,57000,502.1666666666667,2.4242424242424243,27.0,3.6742424242424243,115,86,65,69.10606060606061,0.007575757575757576,1.5757575757575757,1.393939393939394,1.5151515151515151,1.9242424242424243,1.2424242424242424,1.1282051282051282,3.0,0.4696969696969697,0.8712121212121212,1,0.9637,Critical,1
PRV51004,149,138,38,0,149,350.13422818791946,52170,3300,2.0805369127516777,0.0,0.0,1.429530201342282,128,68,52,71.30201342281879,0.006711409395973154,1.570469798657718,1.4093959731543624,1.6644295302013423,1.8926174496644295,1.2953020134228188,1.0797101449275361,3.9210526315789473,0.0,0.8590604026845637,0,0.0026,Low,0
PRV51005,1165,495,6,0,1165,241.1244635193133,280910,4080,3.1759656652360513,0.0,0.0,1.088412017167382,809,327,232,69.56738197424893,0.0034334763948497852,1.6343347639484977,1.4163090128755365,1.5648068669527897,1.8583690987124464,1.3141630901287553,2.3535353535353534,194.16666666666666,0.0,0.6944206008583691,1,0.2194,Low,0
PRV51007,72,58,10,3,69,468.19444444444446,33710,10000,45.333333333333336,0.2222222222222222,7.0,0.9583333333333334,71,32,28,68.375,0.013888888888888888,1.6388888888888888,1.4444444444444444,1.6944444444444444,1.8333333333333333,1.3194444444444444,1.2413793103448276,7.2,0.041666666666666664,0.9861111111111112,0,0.0578,Low,0
PRV51008,43,36,10,2,41,828.6046511627907,35630,21000,53.86046511627907,0.18604651162790697,5.0,1.5348837209302326,40,23,19,74.65116279069767,0.0,1.6046511627906976,1.4186046511627908,1.6744186046511629,1.7906976744186047,1.302325581395349,1.1944444444444444,4.3,0.046511627906976744,0.9302325581395349,0,0.0103,Low,0
PRV51011,58,53,28,1,57,286.7241379310345,16630,5000,23.586206896551722,0.08620689655172414,5.0,0.5517241379310345,49,27,20,73.46551724137932,0.017241379310344827,1.5689655172413792,1.3620689655172413,1.5689655172413792,1.9310344827586208,1.293103448275862,1.0943396226415094,2.0714285714285716,0.017241379310344827,0.8448275862068966,0,0.0084,Low,0
PRV51012,48,31,14,0,48,351.875,16890,3300,2.0833333333333335,0.0,0.0,3.7083333333333335,48,25,19,73.5625,0.0,1.625,1.4583333333333333,1.5416666666666667,1.875,1.2708333333333333,1.5483870967741935,3.4285714285714284,0.0,1.0,0,0.0026,Low,0
PRV51013,46,44,9,0,46,323.4782608695652,14880,1800,5.0,0.0,0.0,1.4565217391304348,43,24,17,73.47826086956522,0.0,1.6304347826086956,1.434782608695652,1.5869565217391304,1.9130434782608696,1.1956521739130435,1.0454545454545454,5.111111111111111,0.0,0.9347826086956522,0,0.0036,Low,0
PRV51014,30,25,7,0,30,349.3333333333333,10480,3300,4.0,0.0,0.0,0.4666666666666667,30,21,16,70.23333333333333,0.03333333333333333,1.4666666666666666,1.4333333333333333,1.4666666666666666,1.9333333333333333,1.3666666666666667,1.2,4.285714285714286,0.0,1.0,0,0.0016,Low,0
PRV51015,8,7,3,0,8,87.5,700,200,0.0,0.0,0.0,0.375,8,4,4,71.125,0.0,1.5,1.125,1.5,1.625,1.0,1.1428571428571428,2.6666666666666665,0.0,1.0,0,0.0005,Low,0
PRV51016,6,6,3,0,6,28.333333333333332,170,90,0.0,0.0,0.0,0.3333333333333333,6,4,2,69.83333333333333,0.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.5,1.1666666666666667,1.0,2.0,0.0,1.0,0,0.0003,Low,0
PRV51017,515,420,113,0,515,277.126213592233,142720,3300,2.0388349514563107,0.0,0.0,1.3572815533980582,410,196,140,71.71456310679612,0.009708737864077669,1.5805825242718448,1.429126213592233,1.5825242718446602,1.887378640776699,1.3184466019417476,1.2261904761904763,4.557522123893805,0.0,0.7961165048543689,0,0.0147,Low,0
PRV51021,257,208,69,29,228,1357.3151750972763,348830,57000,122.53696498054475,0.5369649805447471,17.0,2.0,218,112,94,72.1556420233463,0.0038910505836575876,1.6342412451361867,1.4357976653696498,1.5252918287937742,1.7665369649805447,1.245136186770428,1.2355769230769231,3.7246376811594204,0.11284046692607004,0.8482490272373541,1,0.9386,Critical,1
PRV51023,36,35,14,9,27,1822.5,65610,13000,239.55555555555554,0.8888888888888888,10.0,3.6666666666666665,34,23,21,72.36111111111111,0.0,1.5555555555555556,1.4166666666666667,1.5555555555555556,1.8611111111111112,1.4166666666666667,1.0285714285714285,2.5714285714285716,0.25,0.9444444444444444,0,0.0282,Low,0
PRV51024,39,38,13,9,30,1642.3076923076924,64050,13000,248.76923076923077,1.0,10.0,1.641025641025641,36,23,19,67.76923076923077,0.0,1.6153846153846154,1.4615384615384615,1.4102564102564104,1.8717948717948718,1.2307692307692308,1.0263157894736843,3.0,0.23076923076923078,0.9230769230769231,0,0.0088,Low,0
PRV51025,87,76,35,13,74,1360.344827586207,118350,17000,164.183908045977,1.0459770114942528,28.0,2.1724137931034484,81,53,37,73.11494252873563,0.0,1.6781609195402298,1.4597701149425288,1.5402298850574712,1.8505747126436782,1.264367816091954,1.144736842105263,2.4857142857142858,0.14942528735632185,0.9310344827586207,0,0.2773,Low,0
PRV51026,76,56,29,0,76,261.05263157894734,19840,3300,4.473684210526316,0.0,0.0,1.0921052631578947,70,34,22,69.15789473684211,0.013157894736842105,1.605263157894737,1.5657894736842106,1.605263157894737,1.855263157894737,1.263157894736842,1.3571428571428572,2.6206896551724137,0.0,0.9210526315789473,0,0.0037,Low,0
PRV51027,53,44,10,0,53,563.0188679245283,29840,3300,0.0,0.0,0.0,2.1320754716981134,47,26,17,72.52830188679245,0.018867924528301886,1.5660377358490567,1.320754716981132,1.490566037735849,1.830188679245283,1.2264150943396226,1.2045454545454546,5.3,0.0,0.8867924528301887,0,0.0444,Low,0
PRV51029,93,79,38,0,93,329.6774193548387,30660,3300,1.7204301075268817,0.0,0.0,0.6989247311827957,91,55,32,70.48387096774194,0.010752688172043012,1.6559139784946237,1.5161290322580645,1.6451612903225807,1.903225806451613,1.3333333333333333,1.1772151898734178,2.4473684210526314,0.0,0.978494623655914,0,0.0009,Low,0
PRV51030,171,145,46,82,89,4326.081871345029,739760,57000,507.29824561403507,2.216374269005848,23.0,3.198830409356725,153,100,90,71.45029239766082,0.011695906432748537,1.5730994152046784,1.3508771929824561,1.5263157894736843,1.8245614035087718,1.2690058479532165,1.1793103448275861,3.717391304347826,0.47953216374269003,0.8947368421052632,0,0.5428,Medium,1
PRV51031,185,157,60,28,157,1944.4324324324325,359720,68000,163.48108108108107,0.8378378378378378,18.0,2.0,158,91,63,72.2054054054054,0.005405405405405406,1.5135135135135136,1.308108108108108,1.518918918918919,1.8972972972972972,1.2972972972972974,1.178343949044586,3.0833333333333335,0.15135135135135136,0.8540540540540541,0,0.2799,Low,0
PRV51032,23,21,10,0,23,235.65217391304347,5420,2900,2.1739130434782608,0.0,0.0,0.9130434782608695,22,11,7,69.08695652173913,0.043478260869565216,1.608695652173913,1.3478260869565217,1.565217391304348,1.7826086956521738,1.3043478260869565,1.0952380952380953,2.3,0.0,0.9565217391304348,0,0.0053,Low,0
