shap_total_claims,shap_unique_patients,shap_unique_physicians,shap_inpatient_claims,shap_outpatient_claims,shap_avg_claim_amount,shap_total_claim_amount,shap_max_claim_amount,shap_avg_deductible,shap_avg_hospital_stay,shap_max_hospital_stay,shap_avg_claim_duration,shap_unique_diagnosis_1,shap_unique_diagnosis_2,shap_unique_diagnosis_3,shap_avg_patient_age,shap_deceased_patient_rate,shap_chronic_alzheimer,shap_chronic_heartfailure,shap_chronic_kidney,shap_chronic_cancer,shap_chronic_diabetes,shap_claims_per_patient,shap_claims_per_physician,shap_inpatient_ratio,shap_diagnosis_diversity,fraud_probability,actual_fraud,predicted_fraud,top_fraud_driver
0.047801945,-0.58058614,-0.05943118,-0.021143168,0.15247956,-0.26473832,0.6155919,-0.3444057,-0.33977112,0.16991545,-1.1468388,-0.31080905,0.044935297,0.057888273,0.1473409,-0.0007413785,-0.3679255,-0.04580183,-0.09886871,-0.34867948,0.09706311,-0.19843864,-0.81172717,-0.3211735,-0.11254809,-0.0038118276,0.03084296,0,0,max_hospital_stay
-0.15444416,-0.1890182,0.016147062,0.020208394,-0.05671677,-0.4468998,-2.2461336,-0.45369497,-0.1770128,0.1089091,-1.010696,-0.20266135,0.04707925,-0.10520526,-0.34327966,-0.48259065,0.034574676,-0.04754956,-0.2050347,-1.0177388,-0.63659304,-0.12122868,0.078902505,-0.084239535,-0.03868159,-0.38488567,0.00055190496,0,0,total_claim_amount
-0.092897095,-0.17676374,-0.06853856,-0.058506597,-0.02636544,-0.43363297,-2.2429335,0.004628799,-0.6605218,0.13057248,-1.0010564,-0.09812683,0.061780717,-0.08156489,-0.10486549,-0.490886,-0.3349286,-0.36383352,0.023942513,0.23725116,-0.14717662,-0.27002576,0.1573284,-0.49354342,-0.107283935,-0.19640324,0.0019510243,0,0,total_claim_amount
-0.073027536,0.08064287,-0.037350062,0.069425866,-0.06910596,-0.5578646,-1.8302767,-0.19091429,-0.0037440679,0.18416421,-0.8478645,0.32597947,0.08207466,-0.039360367,-0.1608967,-0.1306998,-0.23438159,-0.29002973,0.086450376,-0.17175575,-0.15321065,-0.19308081,-0.4116961,-0.39440015,-0.12279762,-0.28448227,0.008398232,0,0,total_claim_amount
-0.082810625,-0.10143333,0.052012186,0.009609453,-0.037385944,-0.6283314,-2.225413,-0.049925774,-0.2545855,0.022962317,-1.0092567,-0.22510932,0.10160662,-0.048569646,-0.18057728,-0.08448127,-0.12489664,-0.05780579,-0.44778866,-0.6654005,-0.9221942,0.32829818,-0.11817878,-0.17513289,-0.11359983,-0.2914005,0.0011896748,0,0,total_claim_amount
-0.07850589,0.14819963,-0.008136893,0.08349381,-0.090795495,-0.4219191,-1.7138419,-0.4580871,-0.7858231,0.022821842,-0.9758991,-0.33747086,0.047843717,-0.023906928,-0.20742887,-0.30509278,-0.11966669,-0.12374385,-0.40644315,-0.603051,-0.7561527,0.21933544,-0.6195356,-0.038933285,-0.10395809,0.3941623,0.0012723276,0,0,total_claim_amount
-0.06747488,0.12349988,-0.029997379,0.023536077,-0.01111314,-0.7195566,-1.4053975,-0.33013943,0.099601544,0.16446477,-1.1241326,-0.28918108,-0.06285393,-0.0712831,-0.20750667,0.039404597,-0.2434088,-0.21385506,-0.019609334,0.065966606,-0.3713671,0.12121452,0.13799758,-0.037219785,-0.122942455,-0.3872083,0.012847742,0,0,total_claim_amount
0.007740316,-0.64729756,-0.027943619,0.006839076,0.060507223,-0.67486846,-0.0643376,-0.2943141,-0.41547194,0.22699574,-1.2574366,0.14868616,0.12042432,-0.019681184,-0.14064461,-0.09967699,-0.14866297,-0.099666536,0.04314888,-0.2816191,0.017396737,-0.2109988,-0.8413116,-0.1263226,-0.10897507,0.22273728,0.017848095,0,0,max_hospital_stay
-0.0413748,0.027770448,-0.05466525,-0.008123853,-0.036110837,0.20094767,0.9152733,0.15188739,0.15609476,-0.1422603,1.5592163,-0.026834095,0.042587396,0.015274098,-0.07970304,-0.872863,-0.20649035,-0.18750869,-0.17828801,0.021471113,-0.012902779,-0.09601835,-0.23634754,-0.057815444,0.06862608,-0.3308375,0.7663672,0,1,max_hospital_stay
-0.0006786067,0.057889022,-0.03752155,0.095050655,0.034412708,-0.85690737,-0.7346898,-0.44820562,-0.2775343,0.14333582,-0.9440459,0.0023434944,0.11762948,-0.05136729,-0.14942466,-0.19481921,-0.11824593,-0.29587302,-0.014430657,-0.2126313,-0.27578467,0.014094509,0.06295272,-0.4708901,-0.077594206,0.4060253,0.02583111,0,0,max_hospital_stay
